skit,1
survivor,add,kazu
item,add,cake
item,add,cup
item,add,koma
item,remove,cupphone
item,remove,komanostring
bg,black
m,I return to the center of the cold drawer.

m,I hear neither the sound of the wind nor the waves lapping the shore. Only the terrible silence of the drawer.

play,day,first
m,This dim quiet is comfortably familiar to me now...

bg,room,fade,in
if,15,survived,chio
show,chio,smile
chio,Good morning. Were you okay last night?

chio,I was worried when Saeko took you out. Where on earth did you go?

rin,...The sea.

rin,I went to the outside world to see the sea.

show,chio,weaksmug
chio,Huh. Was it pretty?

rin,I guess. It was too big for me to really understand.

show,chio,normal
chio,"Anyway, I'm glad. You got rid of Clara for us yesterday."

show,chio,smile
chio,I was worried you'd be all clammed up today...but you look fine. I'm relieved.

flash
show,chio,smug
chio,"Or do you want to do it one more time to clear your head, just in case?"

rin,That sounds good.

show
m,"I put my hand on Chio's back. A few minutes later, Chio's body flops down to the ground."

rin,...Thanks. That was amazing.

rin,"I think I've just been overthinking this whole time. About whether Saeko is good or evil, and my own responsibilities as the supervisor."

rin,But Saeko is unbelievably strong. She can even shrink people with magic.

rin,"I can fight back all I want, but against such an extraordinary opponent, there's no point."

rin,I finally realized that I should just follow Saeko's orders without thinking.

rin,"That way, everyone lives longer, and I can keep seeing her smile..."

m,"There was no response. Chio's long hair is disheveled, like a broom's bristles."

m,"To be honest, she looks more arousing when she's quiet like this."

rin,"...Oh, it looks like there's a new little person. I'll go say hi to see if I can use him today."

m,I say just that and leave Chio's side while she is still lying down.

else,15

m,"I look at the wall where Chio always sat. Of course, she's not there."

m,...

rin,(Maybe I shouldn't have done that... It was a bit of a waste.)

m,I think back on yesterday evening's events.

m,I gave Chio to Saeko first to help Clara's rebellion succeed...

m,"But Clara's rebellion failed, and then she was killed. I even felt myself sympathizing with Saeko in the end..."

m,Maybe I should have fed her Clara from the start.

rin,(There's no point in thinking about that now. It looks like there's a new little person in the drawer today too...)

rin,...

rin,(I'll try to be more efficient about things from now on.)

end,15

skit,2

select

m,"There's a new little person. I'll go say hi like I usually do and get the info I need as the supervisor: name, weight, and Appeal."

label,2,kazu

m,"I approach today's new little person. He's a middle-aged man, and he looks quite portly."

rin,Hi. I'm Rin. I'm the supervisor here. Could I ask for your name?

know,kazu
show,kazu,smile
kazu,"Oh. Oh! Hello, I'm Kazu."

if,102,survived,chio
show,kazu,serious
kazu,"A-And I just want to ask, but you were in the back there with that lady, right? I-It looked like you were, uh..."

rin,"Yup, we were fucking."

show,kazu,crazy
kazu,...!

rin,But only I'm allowed to do that. Don't forget it. You need the supervisor's permission to use anything in this drawer.

show,kazu,feared
kazu,R-Right...

kazu,I-I see. Okay. I-I'll keep that in mind.

else,102
show,kazu,serious
kazu,I-I've seen your face before. R-Right. On flyers handed out right before the Kotobishi incident...

rin,...Kotobishi?

m,Don't say that name.

show,kazu,feared
kazu,"Ah, um, well... Just ignore that."
end,102

show,kazu,serious
kazu,B-By the way... Could you help me out? I want to profile Saeko.

rin,Profile?

kazu,Yes. Is there anything she's used for a long time that would show what she likes? I want to use that to analyze and understand her personality.

rin,Hmm...

rin,What will understanding her do?

show,kazu,normal
kazu,"Oh, I forgot to mention this. I'm a reporter for a weekly magazine."

show,kazu,crazy
kazu,"If I can profile her now, it'll help with the article I write after I get out of here..."

play
rin,...You think you can get out?

show,kazu,surprised
kazu,Huh?

play,day,sax
rin,"Ah, it's nothing. Ahaha, just a joke."

rin,But I'll have to say no to the profiling. There's no merit to it.

show,kazu,fearangry
kazu,No merit? What?!

rin,"Not only is it useless, it might make Saeko angry too. You shouldn't do something that careless and dangerous. Got it?"

show,kazu,serious
kazu,Hmmm...

show,kazu,normal
kazu,I think you've been here too long. You're too used to living with Saeko. It's called Stockholm syndrome--it happens a lot in kidnapping cases...

rin,You keep yapping. Do you want to get killed?

show,kazu,feared
kazu,...!

show,kazu,fearangry
kazu,"I-I understand how you feel, b-but I want you to stay calm and listen to me!"

show,kazu,serious
kazu,"Like I said earlier, I'm a magazine reporter. For a long time, I've been following a series of disappearances--the Vanishing Incidents."

if,182,survived,chio
kazu,You'll recall the incident three days ago where the Kotobishi girl vanished. That really got the investigation going.
else,182
kazu,I'm talking about the Kotobishi incident. That really got the investigation going.
end,182

kazu,"I mean, she's the daughter of a very wealthy family. Even when she's walking around alone, she always has undercover security watching her."

kazu,"When she disappeared, there wasn't anybody suspicious nearby, or any cars. Just a female university student."

kazu,"No matter how you look at it, that girl's suspicious."

show,kazu,normal
kazu,"It's still not clear how she does it, and there's no warrant or evidence..."

show,kazu,serious
kazu,But this is a clue for the Vanishing Incidents that have been tormenting the cops for years. They can't let this go.

kazu,The investigation's perfect and the media are already in on it. The first search will probably start tomorrow morning.

show,kazu,crazy
kazu,B-But this weird case is ending soon! And you'll be a free man too.

rin,...

rin,So the police are coming here. What do you think that will solve?

show,kazu,surprised
kazu,Huh?

rin,Just think about it. Why are you and I so small?

rin,Listen. Saeko can shrink other people. It doesn't matter how strong the other people are or how many of them come.

rin,"Try to catch Saeko all you want, but it's useless. If the police come...things will only get worse."

rin,Don't waste your time thinking about things like that. ...Got it?

show
m,"I leave it at that and walk away from Kazu. He's still moaning about something, but it's not worth listening to."

akari,*sigh* ...Rin.

m,I hear a familiar voice from behind me and turn around.

show,akari,disgusted
akari,You really are weak.

rin,...

akari,"You probably can't remember, but you go mad every time you get a big shock. Last time, it was my fault."


show,akari,normal
akari,...How long are you going to keep this madman act up? You won't be able to come back from it this time.

rin,...

rin,...Shut up.

m,"I look at Akari. I wish I could use her for tonight's meal...but with that feeble body, feeding her once won't be enough."

rin,(I don't need to worry about it. There's somebody else I can use tonight.)

show
m,"Akari walks away from me with a sigh. When I see her useless body, it makes me sigh too."

skit,3
cue
pick
play
m,The time for me to feed somebody as the supervisor has come... The rules: Make a little person have at least 50 Appeal. Make sure no little people have 0 or worse Health. I'll choose well.

label,3,akari,cake
m,I pick up the cake and approach Akari.

play,day,womb
m,"When I walk close enough to see her face, she looks at me with a peculiar expression."

show,akari,disgusted
akari,"Hey, Rin... Do you really think this is the right choice?"

rin,Shut up and eat already.

akari,Hmm...

flash
show,akari,normal
akari,Not that I really care.

cutin,akari_eating_cake
show
effect
item,remove,cake
m,"As Akari speaks, she puts her mouth on the edge of the cake. The sweet smell of whipped cream fills the drawer."

m,"One, two, then three bites... While at first she seemed to be holding back, she starts eating faster and faster."

cutin
m,"Before I know it, the huge cake has disappeared, leaving only Akari, who lies down with a contented smile."

show,akari,smile
akari,"Ah, I'm so happy... I feel incredible."

akari,My head feels so light... I don't care even if I die like this.

show,akari,disgusted
akari,"But look. You can tell, right? I don't look yummy at all."

rin,...

show,akari,jitome
akari,It's unfortunate that we'll all have to die here. We've been through a lot.

akari,I'm glad I got to eat something yummy in the end.

flash
show,akari,smile
akari,"Rin, thank you for the fun memories. Let's have a nice death together."

rin,...

show
m,"I'm still flustered, but just as I try to find out the truth behind Akari's words--"

jump,next

label,3,chio,cake
m,I pick up the cake and approach Chio. She slowly gets up from the floor.

rin,Chio... Could you eat this for me?

show,chio,confused
chio,...

show
effect
item,remove,cake
cutin,chio_eating_cake
m,Chio gets closer and puts her mouth on the edge of the sponge cake. The sweet smell of whipped cream fills the drawer.

chio,...

m,She doesn't joke around like she usually does. Her small mouth dispassionately bites off pieces of the white cake.

cutin
m,Just as I see her finish eating the cake with an obedient expression on her face--

jump,next

label,3,kazu,cake
m,I pick up the cake and approach Kazu.

play,day,womb
rin,...Kazu. Could you eat this for me?

show,kazu,crazy
kazu,...

m,"Kazu's eyes go wide when he sees the cake in my hand. Then, he shakes his head, like he is having second thoughts."

show,kazu,serious
kazu,"Sorry, but I think I'm good."

rin,You're good?

show,kazu,crazy
kazu,"Y-Yeah. I mean, y-you were acting..."

rin,Don't be like that. It's just a gift. Come on.

show,kazu,fearangry
kazu,N-No!

m,Kazu screams. The large man's thick neck twists back and forth.

kazu,"A-Act nice all you want now, but I don't trust you! I know you're planning s-something, so--"

rin,"I don't really want to do this to an old man like you, but..."

show,kazu,feared
kazu,Huh? Wha?!

rin,...

kazu,...

show
m,Our gazes meet.

rin,...........................

kazu,...........................

show,kazu,feared
kazu,F-Fine. I-I'll eat...

kazu,"I'll eat, so l-let go of me..."

show
cutin,kazu_eating_cake
effect
item,remove,cake
m,Kazu finishes speaking and puts his mouth on the sponge cake. The sweet smell of whipped cream fills the drawer.

cutin
show,kazu,cry
kazu,This place is really the worst...

rin,...?

kazu,"Don't cock your head at me. I'm eating, just like y-you asked..."

kazu,I can't believe the biggest disappearance case of this century had such a depraved truth hidden behind it...

show,kazu,cryangry
kazu,"But I believe in the power of words! No matter what happens to me, words won't lose to violence!"

rin,Hmph...

m,"To me, words feel even more violent than violence itself."

show,kazu,cry
kazu,H-Hey... Rin. Could I just ask you one thing?

rin,"Huh? Sure, go ahead."

kazu,"Okay then... Hundreds--no, thousands--of people have disappeared over the years in the Vanishing Incidents."

kazu,B-But there are much fewer people in this drawer... Where has everyone gone?

rin,What? You haven't realized?!

m,The words come out of me in surprise.

m,I look at the corner of Kazu's mouth. It has white cream on it. A lovely extra touch for a dessert.

rin,It's a secret. It'll be more fun for the both of us if I keep quiet.

show,kazu,cryangry
kazu,"A secret? Hey, what's that supposed to mean?!"

m,Just as Kazu begins to shake my shoulders while wailing--

jump,4

label,3,other,other
m,I look at the item I meant to hand over once more. A completely ordinary item that doesn't look like it would raise anyone's Appeal.

m,There's no point in handing over something like this.

m,I should hurry up and choose some food. It's too late for cold feet...

jump,back

skit,4
show
bg,room,quake,light
play
m,"A low, muffled vibration reverberates from a distance. The sound of heavy footsteps."

bg,room,quake,heavy

m,There's no mistaking it. Saeko has returned to her room.

bg,room,quake,heavy

m,Saeko walks through the room with even breaths. Every step she takes shakes the drawer like an earthquake...

bg,room,quake,heavy

m,Each tremor growing larger and more violent than the last.

bg,room,quake,long

m,"Soon, they become too strong for me to stand."

m,I find myself crouching on the floor.

m,"Next, I hear the creak of something moving."

m,"Then, a tremendous commotion that shakes the whole room..."

m,...as the room we're in--the second drawer of a desk--is pried open by Saeko's fingers.

play,day,open
interrupt,shift
open
interrupt,open_sliding_in
pose,smile,normal
saeko,"Hello, cute little people. Were you good today while I was away?"

saeko,There were so many people outside today again. I'm tired.

pose,serious,normal
saeko,...

saeko,"Could I enjoy one of you today, as per usual?"

pose,smile,pick
m,Saeko's hand comes down into the drawer.

m,Her unthinkably large fingers fill our vision.

m,"They wander for just a moment, as if carefully making a decision... "

skit,5
judge
label,5,nop
pose,,black
m,"And then return to the sky, empty-handed."

pose,serious,normal
saeko,...*sigh*

saeko,Nobody's making my mouth water today.

saeko,"...Hey, Rin."

saeko,I suppose you were just an ordinary human after all.

rin,(...Huh?)

saeko,...Whatever. I don't need any of you anymore.

interrupt,gameover

center,GAME OVER

dead

label,5,chio
pose,,black
m,"And then, they stop. Right in front of Chio."

chio,...

pose,smile,pick
m,Her gigantic fingers wrap around Chio's tiny arms and legs...

pose,smile,pinch,chio-g1
m,...and carry her up into the sky.
interrupt,chio-g1

pose,smile,pinch,chio-g2
interrupt,chio-g2

pose,,covermouth

interrupt,eat

pose,smile,black
fx,swallow
survivor,remove,chio
interrupt,swallow

saeko,...Yum.

pose,smile,covermouth

saeko,I wish there'd been a bit more movement...

saeko,But it is what it is.

jump,next

label,5,kazu
pose,,black
m,"And then, they stop. Right in front of Kazu."

kazu,"W-Wait! Saeko, what are you doing?"

pose,smile,pick

m,Her gigantic fingers wrap around Kazu's tiny arms and legs...

pose,smile,pinch,kazu-1
m,...and carry him up into the sky.

kazu,"Hey, you have to be kidding me! Don't tell me all the Vanishing Incident victims..."

pose,smile,pinch,kazu-2
kazu,They can't have all...been e-eaten...by Saeko...

saeko,...Heehee.

pose,smile,pinch,kazu-3
kazu,H-Help me! Please! Just until tomorrow morning--that'll be enough!

kazu,Th-Then I'll be fine! I know it! J-Just let me go for now--

pose,,covermouth

interrupt,eat

pose,smile,black
fx,swallow
survivor,remove,kazu
interrupt,swallow

saeko,"Teehee, that was yummy."

pose,smile,covermouth
saeko,The sweet whipped cream was nice and soft on my tongue... Delicious.

saeko,"But... Tomorrow morning, he said?"

skit,6

saeko,...

saeko,"...Rin, good work as the supervisor. Thanks for always helping me."

saeko,I need to prepare a little for tomorrow. We'll meet again later.

goto,night,7,7g
