section,from,body
prologue,1," ｡●CoLa FloaT●｡

Falling in love
    with someone...

...doesn't feel
    clear like soda.


Wanting to be
  next to someone
    feels cloudy,
      dark, and just
        a bit bitter.


But I know--


If my wish
    comes true...


Sweet and white
    bliss upon bliss
        awaits me.


Falling in love
    feels like a...

      CoLa FloaT"
1,1,"""Oh NO! I have to hurry or I'm gonna be late!!!""


It was a normal sunny morning. Ayaka pushed open the door and went out in her school uniform.


Ayaka didn't take school that seriously compared to other people in her class. Her hair was dyed brown and she wore light makeup too.


So, she didn't really care about being late.


(But like, being late is still kind of embarrassing, right?!)


But! Just as she started running--


BAM!!!!!!!!!


Ayaka ran right into somebody..."
1,1,"""OUCH!!!""


She heard a voice behind her.


Ayaka fell to the hard ground after running into somebody.


(It huuuuuurts...)


But that voice just now sounded super angry...?


Ayaka turned around nervously, and there she saw--


A blond-haired delinquent in a black gakuran uniform!!!


Now that she thought about it, she'd heard that there were still boys like this at the high school near her house.


No WAY! At this rate, this boy was going to get really mad at Ayaka!!! TROUBLE ALERT!!!!!!"
1,1,"""You picking a fight with ME?!""


(No waaaay.)


The boy in the black uniform that Ayaka ran into slowly got up on his two feet.


(He's huge.........)


He was only a bit taller than Ayaka, but those big shoulders and chest...


Even with his clothes on, it was clear that he was super strong.


Ayaka should have run, but her feet wouldn't move. She just sat on the ground and looked at the face of the delinquent in front of her.


Flushed cheeks and messy blond hair. His hair was long for a boy, and it was a bit curly at the ends.


The delinquent looked at Ayaka--did he notice her looking at him?


Then.........


He smirked.


(EEK! Super creepy!!!)


(Help me!!! Somebody, ANYBODY!!!!!!)


Ayaka held back the urge to shriek without caring about anyone noticing and just shut her eyes tight........."
1,1,"""Hey. What are you doing here?""


Right at that moment!


Ayaka heard a young man's voice nearby.


(Wow, what a cool, deep voice......)


It definitely wasn't the time to be thinking about something like that, but Ayaka always did this.


""Tsk.""


The delinquent made a click with his tongue and ran off.


(I'm okay?!)


Ayaka listened as the footsteps went farther away and timidly opened her eyes.


And there, she saw--


Pale skin.
Light brown hair.
Fine, well-shaped eyebrows.
Pants low on his hips with a rumpled shirt.
Tall... Probably at least 180 cm.


""You okay? Careful. Girls shouldn't lie on the ground like that.""


KYAAAAAAA!!!!!!!!!


Ayaka's head was still spinning like it had never spun before when the boy put his hand on Ayaka's back and helped her get up off the ground."
2,2,"""Ayaka? What's wrong?""


It was lunchtime. Chihiro called out to Ayaka in their usual corner of the classroom.


Mari stood next to her, looking worried.


Chihiro and Mari had been Ayaka's friends for a long time. The three of them got along really well, though they all had different tastes in boys...


(Which means we never fall for the same guy! It's great ♪)


But today, both of them were worried.


Of course they were. Ayaka had had her head in the clouds ever since getting to school.


""Chihiro, looking at her...""


""Yup, that must be it.""


The two of them nodded. They were sure of it. The reason Ayaka was acting like this...


...was DEFINITELY love trouble!!!!!!


They both spoke up at the same time:


""Ayaka, what happened~~~???"""
2,2,"""On the way to school, I ran into a delinquent...""


Ayaka started speaking.


""Then, a boy helped me out...""


""Wow! ♪♪♪ Was he cool?""


""...""


Ayaka's face went red. Chihiro and Mari nodded when they saw it.


""He was. Super cool... And he even rode a motorcycle...""


He did. The boy who saved her this morning had been riding a black motorcycle.


""And he even...rode together with me...to the school...""


""WHAT?!?!?!?!?!""


Chihiro and Mari looked at each other and shrieked. How could they not?


""It's dangerous.""


He'd said that as he lent her a helmet. That had really made Ayaka's heart skip a beat...


The strength left her arms and she rested her face on the cold desk.


(I wanna meet him again...)


""But y'know...""


Chihiro spoke up, like she had just noticed something.


""If he came with you to school...""


""...!""


""Maybe he's a student here??????"""
2,2,"""Ayaka, somebody's asking for you~!""


Just then, a girl in the same class who was sitting by the hallway called out to her.


(Who could it be??)


Ayaka still wanted to talk, but she decided to go out into the hall for now.


And then...right there...


""The b-boy from this morning?!""


It was the boy with the motorcycle. He was waiting in the hallway for Ayaka.


""Wh-Why...?""


""Why? It's obvious. You forgot this.""


The boy had something in one hand.


...Wait, it was Ayaka's lunchbox!!!!!!!!!


""AHH! Sorrryyyyyyyy!!!!!!""


Right.


...She'd completely forgotten.


He'd held on to the lunchbox for her since it'd be dangerous to ride together on the motorcycle otherwise."
2,2,"""...Dang, you're really clumsy, aren't you? First, the accident this morning, and now this.""


(Urk...)


He was pretty harsh.


But Ayaka didn't hate it, for some reason.


(I wonder why?)


""Just be a bit more careful.""


After saying that, he took one step towards Ayaka, and--


*kiss*


--pressed his lips against Ayaka's cheek.


Wha?


Whaaaaaaaaaaaaaaaaa?!?!?!?!?!?!


Ayaka was completely frozen.


Her heart was pounding a mile a minute.


""I like girls like you. Don't scare me too much.""


""Wa... Wait.........!!! Before you go! C-Could you tell me your name???""


""...Sure. It's Ryuto. Could you tell me your email address?""


*mumble mumble*


In a corner of the hallway, they shared contact info over the cell phone. There, right into the contacts list.


Then, the tall Ryuto seemed to notice something off in the distance.


""Ah, sorry. I gotta go. Catch ya later, Ayaka.""


He raised one hand and walked off, turning his wide back toward Ayaka.


Ayaka's knees almost buckled under her.


(Did something really incredible just happen.........???)"
3,3,"The next day.


Ayaka was on time again today. She got to school 15 minutes before class.


She couldn't sleep well, but she was looking forward to school.


But--


""Ouch!!""


Just as Ayaka took her indoor shoes out of the shoe cubby, her finger touched something sharp.


""What?!?!""


She moved her finger and picked up the sharp object.


""Huh? Is this a thumbtack...?""


A metal thumbtack for putting up things like posters. Luckily, she noticed before it had pricked her, but it made absolutely no sense for it to be in her shoe cubby.


Ayaka trembled as she took out her shoes.


""Ugh...""


Ayaka's white shoes were filled with thumbtacks. When she shook them, needles fell out too.


It couldn't be a coincidence, and she could only think of one reason for it.


""Am I being bullied...?"""
3,3,"Ayaka timidly opened the classroom door.


*chatter chatter*


The classroom seemed the same as usual. Chihiro and Mari noticed Ayaka and gave her a wave.


(Thank goodness...)


She had been worried that her whole class was bullying her, or at least treating her like she was invisible.


But it looked like it was fine.


Then who could've done something so awful...?


Right then, the cell phone Ayaka had put on her desk rang.


""1 New Email
(No Subject)
Contact: Not Saved""


Huh?


Ayaka thought that it was spam, but she opened her phone and read the email.


""Come to the roof of building C at lunch.""


That was all that was written.


(Huh? What.........?)"
3,3,"The school Ayaka went to had three school buildings: A, B, and C.


A and B was cleaned every day, so the floors and walls were tidy, but C's floors and walls had cracks in them, with graffiti all over. She pretty much never went there for classes except to go to the science labs.


The roof just felt sketchy too. There were rumors that students smoked cigarettes there...


Ayaka nervously turned the rusty doorknob.


And then.........


""Tsk. Took you long enough.""


Bright blonde hair.
Suntanned skin.
And unlike Ayaka's light makeup--
Heavy eye makeup like the gaudy gyaru styles you saw in magazines.


And in her hand...


(Ah. A cigarette.)


""I'm Kaede. You're the one who make a move on my boyfriend, right, Ayaka?""


(N-N-No I didn't?!?!?!?!?!?!)"
3,3,"""A-Are you talking about Ryuto...?""


""Yeah. Pretending you don't know what I'm talking about?""


""I-I'm not pretending! I'm...!""


Ayaka thought about it. The girl named Kaede in front of her was probably Ryuto's girlfriend.


Yesterday, Ryuto and Ayaka did do some stuff that could be considered over the top.


Ryuto lent Ayaka a helmet, rode together with her, and...gave Ayaka her first kiss...


(But... That was all stuff Ryuto did. None of that's my fault!!!)


""I-I didn't know Ryuto had a girlfriend!""


""Shut up! Ryuto's such a nice boy. You must've tricked him with a lie or something!""


Could she mean the fight with the delinquent she'd had when they first met...?


But she hadn't been lying or anything.


It was a coincidence that she'd run into that boy, and a coincidence that Ryuto had helped her.


It wasn't a lie or a trick!!!!!!"
3,3,"""Anyway, just stay away from Ryuto. Or else I'll bully you until you drop out of school.""


""Hey!!! If anything, you're the one who's more likely to drop out, smoking here on the roof...""


""Shut up.""


Kaede approached her.


*smush*


She pressed something against Ayaka's cheek.


(N-N-No way!!!!!! Don't tell me she did what I think she did to my face!!!)


Kaede left the roof. Ayaka went down the stairs and found a washroom to check on herself in the mirror.


(Thank goodness. It didn't leave a mark...)


But Ryuto's girlfriend was just so awful! How could she do something like that to somebody's face??????"
7p,7p,"On the same night--


Ayaka returned to her room and opened up her cell phone like usual.


She pressed a button to open her contacts.


The name ""Ryuto"" had a ""NEW!!"" emoji on it. The newest email address in her contacts.


She wasn't sure whether she should send an email.


(Kaede might get angry again at me if I do...)


No. If she didn't contact him, the matter would never be settled.


She had to talk to Ryuto properly, even if it meant they would part ways.


————————————
From: Ayaka <...>
To: Ryuto <...>
Subject: Lunch Break

I met somebody named Kaede during today's lunch break.

I didn't know you had a girlfriend, Ryuto. Why did you act like that with me?

Please call me.
————————————


That was all she wrote.


Maybe he'd think she was too clingy, taking things so seriously after just a kiss.


(No, it'll be fine.)


Ayaka gathered her courage and pressed the ""Send"" button.


Only a minute or two later...


*bzzz bzzz*


Ayaka's cell phone buzzed with an incoming call..."
7p,7p,"""Ayaka, are you okay? So Kaede already knows. I kind of expected that... Did she do anything bad to you?""


Ryuto's deep voice was cool even through the phone... But--


""I'm not okay!""


Ayaka yelled out of reflex.


""How could you do that to me when you have a girlfriend?!""


""...Sorry.""


""Sorry doesn't cut it! Because of that, I...I've gone and fallen in love with you!!!""


(Ah.)


(Oh no. I said it. I said that I fell in love with Ryuto.)


(Even though that definitely wasn't how this conversation was supposed to go.)


""I... Uh...""


Ryuto's voice sounded panicked through the receiver.


(Ahaha, I've done it now...)


""Sorry. I have, too.""


(Huh?)


""It was love at first sight... I love you, Ayaka.""


(No way.)


(No way no way no way no way no way!!!!!!)"
7p,7p,"""I loved you ever since I saw you on the ground. I only kissed you yesterday because you were so cute that I couldn't hold back.""


Ryuto's words were a dream come true.


""But don't you have a girlfriend??? Kaede... That's why I...""


""I do. I've been dating Kaede for years. But...""


Ayaka could hear Ryuto breathing through the phone.


""We're childhood friends, since we live close to each other. That's why I said okay without thinking when Kaede said we should date.


""I didn't understand what it meant to actually fall in love with someone, but I finally understood yesterday. The feeling of my heart racing--all of it.""


""...""


Ayaka fell silent.


""I'm really sorry about yesterday. To you...and to Kaede, of course.


""We've dated for a long time, but I didn't feel strongly about it. I'm sure she already knows that, which is why she always gets suspicious of me and gets jealous of other girls.


""But that doesn't matter... We're still dating. What I did to her was awful...


""Just wait for me for half a year. I'll settle things with Kaede. I promise that I'll break up with her in a way that she'll agree with. So...


""If you still love me after that, meet me at ✗✗✗✗ Park six months later on the ◯th day."""
7p,7p,"Six months later...


Ayaka looked at the sea from the hill in ✗✗✗✗ Park.


She wore a white dress with a simple beige shoulder bag.


(Did I dress up too much...?)


""What should I do if he doesn't come...?""


The question that she had tried so many times to avoid thinking slipped out of her mouth.


But at that moment--


""Heeeeey!!!!!!""


She recognized the voice calling out from behind her.


She turned around and looked into the distance. Ryuto was running towards her with a bouquet in his hands.


""Ayaka!!!!!!!!!
I love you!!!!!!!!!""


""Ryuto!!!!!!!!!""


Ayaka's eyes filled with tears, making it hard to see.


""Hey, wait! Why are you running away?!""


Ayaka had stepped back unconsciously.


Her back hit the fence surrounding the cliff above the sea.


Eek!!!!!!!!!


She almost fell over the fence from the momentum, but then--


""Hey, you okay there?""


--Ryuto's face appeared right before her eyes.


He had caught her with one arm before she stumbled.


Ryuto's sturdy arm held her body up, and his body blocked the sun from her vision.


""Ryuto...""


""Ayaka...""


Ryuto brought his face closer to hers, and then...


""I've already decided. I'm gonna take good care of you for the rest of my life.""


Ryuto brought his lips close, and Ayaka answered.


Birds called out above the sea, but the calls didn't reach Ayaka and Ryuto's ears.


Their lips pressed together, forever and ever."
7g,7g,"On the same night--


Ayaka returned to her room and opened up her cell phone like usual.


She pressed a button to open her contacts.


The name ""Ryuto"" had a ""NEW!!"" emoji on it. The newest email address in her contacts.


She wasn't sure whether she should send an email.


The thing was...


(Ryuto tricked me too! He never said he had a girlfriend. He kissed me and got my hopes up. I'll never forgive him for that.)


Ayaka decided to prepare for tomorrow and turned off her cell phone's screen."
7g,7g,"The next morning...


Ayaka was outside a classroom for upperclassmen which she normally never entered.


She was here to talk to Ryuto.


""Is ◯◯◯◯ (Ryuto's family name) here～???""


She called into the classroom and got Ryuto to come outside.


""Oh, Ayaka! You came to find me.""


Ryuto's smile was wide. It only got wider after she took his hand.


(...He really is so handsome.)


Ayaka took Ryuto to building C. Ryuto kept smiling the whole time.


Maybe he was expecting...*that*.


If he was...


That was kind of cute of him."
7g,7g,"""Ayaka? Why did you bring me here--""


Just as they entered an empty classroom in quiet building C, Ayaka stuffed a thick towel into Ryuto's mouth. She took the ends and tied them tightly behind his head to make--


""Perfect～～!♪♪♪""


--a gag.


(That'll keep you quiet, Ryuto.)


""I have a knife. Don't bother trying to fight back.""


*press*


Slowly, she touched the tip of the knife to his neck. The neck was sensitive. Red blood dripped down onto the white collar of his shirt.


""......!!!!!!""


(Ahaha, he's struggling. He's trying to move his arms and legs because he thinks he's going to get killed.)


Unluckily for him, Ayaka had already tied his hands and feet behind him with hemp rope.


(I cut his neck as a distraction for that...♪)


""Ryuto, you did something awful to me.""


*tmp tmp*


The sound of indoor shoes on the ground. Ayaka had stepped back, so that Ryuto could see her whole body as she talked.


""You have a girlfriend, don't you? But you still did all that to me.""


Ryuto tried to scream as loudly as he could.


(Ahaha, I can't hear any of what you're saying.)"
7g,7g,"""First, you have to break up with Kaede. Here.""


She took a letter out of her pocket and threw it on the ground in front of Ryuto.


< I'll break up with Ryuto. Sorry. >


The writing was messy, and the paper was all crumpled.


Not that it mattered, since it was legible.


""Now, it's your turn, Ryuto.""


Ayaka walked behind Ryuto and loosened his gag just a little. She kept the cold knife pressed against his neck.


""You'll date me, won't you, Ryuto???"""
7g,7g,"Half a year later...


Ayaka and Ryuto were still dating.


Ryuto's hair had gone back to its natural black color, and all the necklaces and piercings he had worn were gone. His skin was no longer tanned either.


Even so--


The feelings of love they had for each other hadn't changed even after half a year.


They were by the sea at ✗✗✗✗ Park, in a washroom shaded from the sun.


Ryuto was waiting there as promised. His face lit up when he saw Ayaka.


""Sorry for the wait, Ryuto!♪""


Ayaka gave Ryuto a kiss.


Children were playing in the distance, but the voices didn't reach Ayaka and Ryuto's ears.


Their lips pressed together, forever and ever."
